StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q32,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q37_1,Q37_2,Q37_3,Q37_4,Q37_5,Q37_6,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,I have read the above and give consent.,Have you donated blood?,Have you volunteered for a charity?,Have you offered your seat to a stranger who was standing?,Have you given money to a stranger in need  without expecting to get it back?,"Have you helped carry a stranger's belongings (books, groceries, etc)?","Have you helped a classmate/coworker, who you did not know that well, with a task they needed help with?",Have you delayed an elevator and held the door open for a stranger?,Have you helped push a stranger's car that was broken down or out of gas?,Have you given directions to a stranger who is lost?,How likely will you be donating your organs when you die with the hope that they will help someone else live?,"For the following section, rate each adjective on a scale of 1 to 5 based on how strongly you feel it represents your current mood after watching the video. 
1 indicates that the adjective does not at all, while 5 indicates that it very strongly represents your current mood.
Please be honest and use your initial reaction to each word. - Sad","For the following section, rate each adjective on a scale of 1 to 5 based on how strongly you feel it represents your current mood after watching the video. 
1 indicates that the adjective does not at all, while 5 indicates that it very strongly represents your current mood.
Please be honest and use your initial reaction to each word. - Worried","For the following section, rate each adjective on a scale of 1 to 5 based on how strongly you feel it represents your current mood after watching the video. 
1 indicates that the adjective does not at all, while 5 indicates that it very strongly represents your current mood.
Please be honest and use your initial reaction to each word. - Distressed","For the following section, rate each adjective on a scale of 1 to 5 based on how strongly you feel it represents your current mood after watching the video. 
1 indicates that the adjective does not at all, while 5 indicates that it very strongly represents your current mood.
Please be honest and use your initial reaction to each word. - Excited","For the following section, rate each adjective on a scale of 1 to 5 based on how strongly you feel it represents your current mood after watching the video. 
1 indicates that the adjective does not at all, while 5 indicates that it very strongly represents your current mood.
Please be honest and use your initial reaction to each word. - Enthusiastic","For the following section, rate each adjective on a scale of 1 to 5 based on how strongly you feel it represents your current mood after watching the video. 
1 indicates that the adjective does not at all, while 5 indicates that it very strongly represents your current mood.
Please be honest and use your initial reaction to each word. - Happy","You’re waiting in line to order a drink at a cafe, and you see the barista being yelled at by the customer in front of you. When it’s your turn to order, they greet you neutrally. How likely will you tip?","You're at a park, and you notice someone sitting alone on a bench, looking upset. How likely are you to approach them and ask if everything is okay, offering a listening ear or support if needed?","While waiting at a bus stop, you see a young child who seems lost and confused, looking around for their parent or guardian. How likely are you to approach the child and help them find their way or seek assistance from authorities?","You're at work, and a colleague is visibly stressed out because they have a tight deadline and a lot of work to finish. How likely are you to offer your assistance or support to help them complete their tasks?","While attending a music festival, you spot a concert-goer who appears heavily under the influence of drugs, stumbling and disoriented. They're on the verge of wandering into a crowded area where they could easily get lost or injured. How likely are you to approach them and offer assistance in finding medical help or a safe place to rest, despite the risks associated with interacting with someone in that state?","While walking through your neighborhood, you come across a person whose political views sharply contrast with your own. They're struggling to carry groceries into their home, their arms laden with bags. How likely are you to offer a hand, setting aside your ideological differences for a moment of kindness?","At a school reunion, you see a former classmate who used to bully you during your school years. They seem withdrawn and uneasy, perhaps dealing with personal struggles. How likely are you to approach them with a friendly greeting or offer support, despite your history?","While volunteering at a homeless shelter, you encounter a previous manager who often gave you a hard time and fired you. They're visibly upset, having lost their job and facing housing insecurity. How likely are you to offer a listening ear or help them access resources, despite any past hostility?","While hiking in a remote area, you come across a solo adventurer attempting a challenging climb without proper safety gear. They're struggling to find a secure foothold and seem oblivious to the potential danger. How likely are you to approach them and offer guidance on safer routes, despite the risks involved in intervening?","You're at a restaurant and you witness a customer drop their tray, spilling drinks and food everywhere. The person looks embarrassed and flustered as they try to clean up the mess. How likely are you to offer a hand in cleaning up or comforting them with a reassuring word?",Do you consider yourself more of an extrovert or introvert?,Your insights are valuable to us. Would you be willing to answer additional questions? This would immensely help us. We would like to gain a deeper understanding of your motivations behind the responses you've given.,"Do you consider yourself an empathetic/altruistic person? If so, what influences or factors do you believe drive your sense of empathy?"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID44""}","{""ImportId"":""QID1""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID15""}","{""ImportId"":""QID14""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID54_1""}","{""ImportId"":""QID54_2""}","{""ImportId"":""QID54_3""}","{""ImportId"":""QID54_4""}","{""ImportId"":""QID54_5""}","{""ImportId"":""QID54_6""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID49""}","{""ImportId"":""QID38""}","{""ImportId"":""QID25_TEXT""}"
2024-02-27 14:14:47,2024-02-27 14:15:46,1,,100,59,1,2024-02-27 14:15:48,R_3j0U5klcsf8h3gP,,,,,32.8509,-117.2722,preview,EN,,1,1,1,1,1,1,1,1,1,1,,,,,,,1,1,1,1,1,1,1,1,1,1,,,
2024-02-27 14:34:40,2024-02-27 14:34:50,1,,100,9,1,2024-02-27 14:34:51,R_3ToTVEAEw2n2o7L,,,,,33.6914,-117.7913,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-27 14:35:23,2024-02-27 14:36:51,1,,100,87,1,2024-02-27 14:36:52,R_3zNKp4fkwccObE6,,,,,32.8509,-117.2722,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-27 18:08:50,2024-02-27 18:09:19,1,,100,29,1,2024-02-27 18:09:20,R_3OHqW0J8HRTNIoP,,,,,32.8595,-117.2124,preview,EN,,2,1,5,2,5,1,3,4,4,1,,,,,,,4,1,,3,1,1,1,2,1,4,,2,
2024-02-27 19:29:55,2024-02-27 19:30:46,1,,100,50,1,2024-02-27 19:30:48,R_6QWpi8ydddn4nUB,,,,,32.8595,-117.2124,preview,EN,,3,5,2,3,2,3,2,2,3,4,,,,,,,4,1,3,2,3,4,1,3,3,5,,1,n
2024-02-29 11:59:59,2024-02-29 12:01:12,1,,100,72,1,2024-02-29 12:01:14,R_6kGhc69KOvJP4s3,,,,,32.8509,-117.2722,preview,EN,1,3,4,4,4,4,5,4,3,2,1,1,1,1,3,3,2,3,2,3,5,2,1,5,2,1,1,1,2,
2024-02-29 12:01:21,2024-02-29 12:01:25,1,,100,4,1,2024-02-29 12:01:27,R_6NIevTGQOfwS0LU,,,,,32.8509,-117.2722,preview,EN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-01 03:52:46,2024-03-01 04:00:17,0,69.109.191.93,100,451,1,2024-03-01 04:00:18,R_7GFcivvUyrwqSm5,,,,,32.7449,-117.165,anonymous,EN,1,3,4,4,5,3,5,5,3,4,4,5,4,4,1,1,3,5,3,5,4,3,4,4,5,5,4,1,1,"To some extent. People need and I've been fortunate to have that support. So, it is good to help others feel the same."
